Postcode area,Price,Total Population,Latitude,Longitude,Total Count
RG,627975.5136935604,2341913.0,51.43559855778421,-0.9936821218637708,25474
RG,627975.5136935604,2341913.0,51.43599591407695,-0.9949831143583665,17965
RG,627975.5136935604,2341913.0,51.43840020216149,-0.9891698939649669,6735
RH,590980.7597765363,527461.0,51.21879023583673,-0.15466776541079433,1881
RH,590980.7597765363,527461.0,51.221654345158626,-0.17202928170726464,4963
RH,590980.7597765363,527461.0,51.22172129013543,-0.17148317828304582,8458
RM,414021.3492537314,4444959.0,51.54117661208922,0.20899136293780066,18805
RM,414021.3492537314,4444959.0,51.54135858690225,0.20405873658561569,31398
RM,414021.3492537314,4444959.0,51.544084915529844,0.20889055378384636,15210
SE,575237.7986822841,8807138.0,51.463878098639746,-0.026960165102397626,30957
SE,575237.7986822841,8807138.0,51.465553461203164,-0.02940307039647141,62919
SE,575237.7986822841,8807138.0,51.46989074172024,-0.032984175831957674,54366
SG,469152.11373092927,1153632.0,51.944926565909384,-0.19180379025530855,9131
SG,469152.11373092927,1153632.0,51.95210121890301,-0.18606486925022683,3979
SG,469152.11373092927,1153632.0,51.95380107628989,-0.19297442022582342,15364
SL,1025101.598,1616646.0,51.51135108241902,-0.6192409131632493,10551
SL,1025101.598,1616646.0,51.51183481005585,-0.6113422233666946,17630
SL,1025101.598,1616646.0,51.51187781852221,-0.6149336496305096,6962
SM,483795.1900311526,1180920.0,51.369246606363866,-0.18214031628109276,5050
SM,483795.1900311526,1180920.0,51.37031886592972,-0.182994513363391,6166
SM,483795.1900311526,1180920.0,51.37074149798108,-0.1816186941529602,10002
SN,350909.4927184466,61969.0,51.62759084577357,-1.6081050636614522,806
SN,350909.4927184466,61969.0,51.636716767943405,-1.5924013855166572,136
SN,350909.4927184466,61969.0,51.64133373592029,-1.5899774268011415,452
SS,376724.0939289805,3329668.0,51.556710692949046,0.6070563869021318,40266
SS,376724.0939289805,3329668.0,51.55723323624344,0.606138393542332,21663
SS,376724.0939289805,3329668.0,51.559247742526615,0.5962901962953008,9466
SW,921061.9142461964,6614268.0,51.46171148440138,-0.1622655615461622,44640
SW,921061.9142461964,6614268.0,51.46341881026681,-0.16522232671117276,28491
SW,921061.9142461964,6614268.0,51.467165821394715,-0.16152386749577435,50342
TN,505219.42505947663,36394.0,51.308311901091265,0.03257625669642857,253
TN,505219.42505947663,36394.0,51.31031805645343,0.03515933177890011,442
TN,505219.42505947663,36394.0,51.31048783169796,0.03368586935915098,255
TW,728487.706122449,2817915.0,51.45344671303129,-0.3895427503013603,16304
TW,728487.706122449,2817915.0,51.45375196664432,-0.3897631146134444,23830
TW,728487.706122449,2817915.0,51.454140570827,-0.3849956890548076,11685
UB,641887.5086580086,3058965.0,51.52475215962432,-0.4064780788173423,22586
UB,641887.5086580086,3058965.0,51.52576624005108,-0.40812521155114595,15601
UB,641887.5086580086,3058965.0,51.5262829539842,-0.4064414459405142,10415
W,1358563.962466488,5283854.0,51.50869999272657,-0.23259765976194588,32506
W,1358563.962466488,5283854.0,51.50928471354976,-0.23503934060879436,18011
W,1358563.962466488,5283854.0,51.51030416654735,-0.23662464867226166,28638
WD,553085.1905697446,711843.0,51.65835003131803,-0.3776036586113584,7435
WD,553085.1905697446,711843.0,51.660888555660925,-0.3770768218881897,9015
WD,553085.1905697446,711843.0,51.66199495870804,-0.3807003467589243,3540
